dataset_name,split,model_name,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn,n_features,n_examples
horizon_12h,test,logistic_regression,0.853810474809943,0.26520053252056486,0.799529582051746,0.15267785771382894,0.799163179916318,0.2563758389261745,0.1510138500735541,0.7995461422087746,0.799163179916318,191,1060,4228,48,304,5527
horizon_12h,test,random_forest,0.9987458776166454,0.9801040149288142,0.9980097702189252,0.9830508474576272,0.9707112970711297,0.9768421052631578,0.006747111299767656,0.9992435703479576,0.9707112970711297,232,4,5284,7,304,5527
horizon_12h,test,xgboost,0.9986105748232359,0.9613381024854415,0.9952958205174598,0.9311740890688259,0.9623430962343096,0.9465020576131687,0.004432560152488857,0.9967851739788199,0.9623430962343096,230,17,5271,9,304,5527
horizon_12h,val,logistic_regression,0.8279593398185594,0.18326645033043462,0.7888050082857669,0.1224,0.7536945812807881,0.21059876118375775,0.15264731856737465,0.790168324407039,0.7536945812807881,153,1097,4131,50,304,5431
horizon_12h,val,random_forest,0.9946724910580014,0.9658767349257269,0.997053949548886,0.9605911330049262,0.9605911330049262,0.9605911330049262,0.006870868981558257,0.9984697781178271,0.9605911330049262,195,8,5220,8,304,5431
horizon_12h,val,xgboost,0.9989314829960689,0.9680969014896215,0.9948444117105505,0.926829268292683,0.9359605911330049,0.9313725490196079,0.004095050563757404,0.9971308339709258,0.9359605911330049,190,15,5213,13,304,5431
horizon_24h,test,logistic_regression,0.8970759451321512,0.3392448120802094,0.8307615729218517,0.17997465145754118,0.8114285714285714,0.2946058091286307,0.11688175627568859,0.8316419463960447,0.8114285714285714,142,647,3196,33,304,4018
horizon_24h,test,random_forest,0.9987851752722947,0.9753276957588602,0.998755599800896,0.9829545454545454,0.9885714285714285,0.9857549857549858,0.0058776928782562216,0.9992193598750976,0.9885714285714285,173,3,3840,2,304,4018
horizon_24h,test,xgboost,0.9989621203672725,0.9651500126371816,0.9957690393230463,0.9293478260869565,0.9771428571428571,0.9526462395543176,0.0033740868229348124,0.9966172261254228,0.9771428571428571,171,13,3830,4,304,4018
horizon_24h,val,logistic_regression,0.8701404723199453,0.2398993157992859,0.8133600200150113,0.14114832535885166,0.8082191780821918,0.24032586558044808,0.12463010522103167,0.8135549207997923,0.8082191780821918,118,718,3133,28,304,3997
horizon_24h,val,random_forest,0.9968732547674861,0.9518873891622468,0.9962471853890418,0.9337748344370861,0.9657534246575342,0.9494949494949495,0.0069507668125561835,0.9974032718774344,0.9657534246575342,141,10,3841,5,304,3997
horizon_24h,val,xgboost,0.9985468993999068,0.9530123514908575,0.9939954966224669,0.8910256410256411,0.952054794520548,0.9205298013245033,0.005235014195090778,0.9955855621916385,0.952054794520548,139,17,3834,7,304,3997
horizon_6h,test,logistic_regression,0.8441361460536569,0.24308088876386558,0.7921743607345118,0.16519823788546256,0.7525083612040134,0.27092113184828415,0.1541182272365054,0.7943198263386396,0.7525083612040134,225,1137,4391,74,304,5827
horizon_6h,test,random_forest,0.9979919800202315,0.9762928060805504,0.9974257765574052,0.9829931972789115,0.9665551839464883,0.9747048903878583,0.007575041771901334,0.999095513748191,0.9665551839464883,289,5,5523,10,304,5827
horizon_6h,test,xgboost,0.998947286904249,0.9738896930792317,0.9958812424918483,0.939297124600639,0.9832775919732442,0.9607843137254902,0.0037634948426282814,0.9965629522431259,0.9832775919732442,294,19,5509,5,304,5827
horizon_6h,val,logistic_regression,0.8335735799382807,0.23913333096083278,0.788337684943429,0.15719557195571957,0.7421602787456446,0.25943970767356883,0.15523256817347722,0.7907658482960791,0.7421602787456446,213,1142,4316,74,304,5745
horizon_6h,val,random_forest,0.9978824677007698,0.9729655243625889,0.9951261966927764,0.96415770609319,0.9372822299651568,0.950530035335689,0.008587272666075566,0.9981678270428729,0.9372822299651568,269,10,5448,18,304,5745
horizon_6h,val,xgboost,0.9989313388396408,0.9767741220887501,0.9939077458659704,0.9468085106382979,0.9303135888501742,0.9384885764499121,0.004599822694005978,0.9972517405643093,0.9303135888501742,267,15,5443,20,304,5745
