dataset_name,split,model_name,text_embedding_backend,decision_threshold,n_features,n_structured_features,n_text_embedding_features,n_note_metadata_features,n_event_features,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn,stack_train_examples,variant_name
horizon_12h,test,stacked_xgboost_notes,transformer:emilyalsentzer/Bio_ClinicalBERT,0.5,25,428,1536,14,9,0.9952248400103811,0.948413170545603,0.9942102406368736,0.8996138996138996,0.9748953974895398,0.9357429718875502,0.006623635581522492,0.9950832072617246,0.9748953974895398,233,26,5262,6,5431.0,structured_full
horizon_12h,test,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.25,1987,428,1536,14,9,0.9990346818247995,0.975061037168946,0.9942102406368736,0.9027237354085603,0.9707112970711297,0.9354838709677419,0.004450565002945278,0.9952723146747352,0.9707112970711297,232,25,5263,7,,structured_full
horizon_12h,val,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.25,1987,428,1536,14,9,0.9989635196610896,0.96664548174984,0.9957650524765237,0.9245283018867925,0.9655172413793104,0.944578313253012,0.003855080025941011,0.9969395562356542,0.9655172413793104,196,16,5212,7,,structured_full
horizon_12h,test,stacked_xgboost_notes,transformer:emilyalsentzer/Bio_ClinicalBERT,0.5,16,360,1536,14,0,0.777796415979339,0.3727744417875034,0.8094807309571196,0.13464991023339318,0.6276150627615062,0.22172949002217296,0.17057235081877858,0.8177004538577912,0.6276150627615062,150,964,4324,89,5431.0,vitals_labs
horizon_12h,test,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.07243598997592926,1910,360,1536,14,0,0.81101325176131,0.3825455799742624,0.9549484349556722,0.47058823529411764,0.33472803347280333,0.39119804400978,0.035496653351310324,0.9829803328290468,0.33472803347280333,80,90,5198,159,,vitals_labs
horizon_12h,val,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.07243598997592926,1910,360,1536,14,0,0.7891940328884633,0.2958405312208877,0.9539679617013441,0.36257309941520466,0.3054187192118227,0.3315508021390374,0.03196640493056784,0.9791507268553941,0.3054187192118227,62,109,5119,141,,vitals_labs
horizon_12h,test,stacked_xgboost_notes,transformer:emilyalsentzer/Bio_ClinicalBERT,0.5,16,160,1536,14,0,0.7451674747909532,0.22179425664507213,0.7267957300524697,0.10106716886377903,0.6736401673640168,0.17576419213973798,0.20731956980226346,0.7291981845688351,0.6736401673640168,161,1432,3856,78,5431.0,vitals_only
horizon_12h,test,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.07027322053909302,1710,160,1536,14,0,0.7501665569474424,0.20748047316674892,0.9448163560702009,0.3146067415730337,0.23430962343096234,0.2685851318944844,0.03935173479176551,0.976928895612708,0.23430962343096234,56,122,5166,183,,vitals_only
horizon_12h,val,xgboost_text_augmented,transformer:emilyalsentzer/Bio_ClinicalBERT,0.07027322053909302,1710,160,1536,14,0,0.7491981411196249,0.13494964848474336,0.9436567851224452,0.2154696132596685,0.1921182266009852,0.203125,0.03496506689680187,0.9728385615914308,0.1921182266009852,39,142,5086,164,,vitals_only
horizon_24h,test,stacked_xgboost_notes,transformer:emilyalsentzer/Bio_ClinicalBERT,0.5,25,428,1536,14,9,0.9965666703840006,0.9290099637777129,0.9957690393230463,0.9202127659574468,0.9885714285714285,0.953168044077135,0.0069093880310874605,0.9960967993754879,0.9885714285714285,173,15,3828,2,3997.0,structured_full
