structured_encoder,dataset_name,split,auprc,auroc,loss,text_embedding_backend
transformer,horizon_12h,test,0.0827394938024142,0.6363927325783807,0.1808253053328119,transformer:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_12h,test,0.0913424157213943,0.6604339026073085,0.1898632656158395,transformer:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_12h,test,0.0900822693155346,0.6505579855550421,0.2319504503009981,transformer:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_12h,test,0.100266827460973,0.6701863855322543,0.1764586286597772,transformer:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_12h,val,0.0592422988356008,0.6157644890528831,0.1614534436560729,transformer:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_12h,val,0.0693483351521858,0.6130493816923651,0.1783406944397617,transformer:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_12h,val,0.058855630411561,0.6039797075994738,0.2221126527689835,transformer:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_12h,val,0.0606939462816133,0.6172895285333615,0.1623560393009992,transformer:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_24h,test,0.1361385715673979,0.72587487453998,0.26790296046398,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_24h,test,0.1685280513129824,0.7432690234563771,0.2704734560741958,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_24h,test,0.0747118836422106,0.6360469871008512,0.2082609839555693,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_24h,test,0.1640696766046227,0.744745548492621,0.3023586902765565,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_24h,val,0.1215200151786051,0.7134635017412306,0.2275728332572963,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_24h,val,0.1261502100208667,0.706580393635526,0.2347794295907795,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_24h,val,0.0604118022714879,0.5867591765881838,0.1767843256240012,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_24h,val,0.1200911543974168,0.7038733934967969,0.2655859384135999,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_6h,test,0.243032382221386,0.7784876868868248,0.3065388880246744,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_6h,test,0.2273206213344704,0.7779223073535035,0.311692406946913,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_6h,test,0.1306181146544773,0.6196326757304862,0.2400919729426654,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_6h,test,0.277120650397787,0.7968838482350722,0.2809435062039934,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_6h,val,0.2760018018482502,0.7784063414889503,0.2792329535306262,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_6h,val,0.2647806246130388,0.7830087982605209,0.2902492732340358,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_6h,val,0.1917947600141221,0.6483798356279118,0.2230458283910201,finetune:emilyalsentzer/Bio_ClinicalBERT
transformer,horizon_6h,val,0.2800950309955154,0.7835543006270246,0.2678767457012406,finetune:emilyalsentzer/Bio_ClinicalBERT
