epoch,train_loss,learning_rate,selection_loss,selection_auroc,selection_auprc,selection_precision,selection_recall,selection_f1,decision_threshold
1,4.191628863281851,0.00029388206453689414,4.284030854326175,0.6682820055706108,0.07394906897441501,0.0,0.0,0.0,0.044021569192409515
2,4.184858259998245,0.00027612712429686835,3.6264378369233086,0.6726258004454981,0.0765106389579967,0.0,0.0,0.0,0.06396513432264328
3,4.175705040756318,0.0002484731565365591,5.053466146177474,0.6748843853294688,0.07207863175576966,0.0,0.0,0.0,0.06396513432264328
4,4.216865776866625,0.00021362712429686838,4.479679126890488,0.6913041184075139,0.08846360992251052,0.0,0.0,0.0,0.028795607388019562
5,4.2014394752488124,0.00017499999999999997,5.061159909050637,0.6936531597574259,0.09703769076592711,0.0,0.0,0.0,0.02213442139327526
6,4.124975871814551,0.00013637287570313157,5.613643089263729,0.6987460472408893,0.1059492051027297,0.0,0.0,0.0,0.027117103338241577
7,4.168238989993275,0.00010152684346344086,5.494491543932009,0.7053201593541408,0.11092203995320564,0.0,0.0,0.0,0.021953407675027847
8,4.0350549872178,7.387287570313158e-05,5.584425294970503,0.7066586323736153,0.11428433225108928,0.0,0.0,0.0,0.028493506833910942
9,3.931472717784345,5.611793546310581e-05,5.148853872099271,0.7113666087494016,0.11442473506027406,0.0,0.0,0.0,0.03127776086330414
10,3.8721168436446973,5e-05,5.318902136011472,0.7113750890430837,0.12482282537144705,0.6666666666666666,0.009852216748768473,0.019417475728155338,0.027812108397483826
