feature_name,importance
hours_to_prediction__min,0.07434875617832197
hours_to_prediction__last,0.07434875617832197
map__max__max,0.05885041743126532
map__max__last,0.05322286756070555
map__last__max,0.05070374088589438
map__mean__max,0.04691636660344953
map__mean__last,0.045030026563562184
map__last__last,0.04410426530351628
map__max__mean,0.04166441843042894
map__min__max,0.04161868282248141
heart_rate__last__min,0.03986391062331843
spo2__last__min,0.03610377743992092
heart_rate__min__min,0.03595394988264711
respiratory_rate__max__last,0.03486939113361058
map__min__last,0.03376597557742716
map__mean__mean,0.03333052996805353
map__last__mean,0.03276585161919987
platelet__min__min,0.03259029227471502
platelet__last__min,0.03258118617374204
platelet__mean__min,0.032574393340166985
