dataset_name,model_name,model_family,source_stage,prediction_file,split,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn,decision_threshold
horizon_12h,aligned_transformer_encoder,alignment_encoder,10_aligned_transformer_xgboost,horizon_12h_aligned_transformer_encoder_test_predictions.csv,test,0.7440648757113288,0.1635771186768887,0.9296182377419938,0.23404255319148937,0.27615062761506276,0.2533589251439539,0.04124180134855323,0.9591527987897126,0.27615062761506276,66,216,5072,173,0.0278121083974838
horizon_12h,aligned_transformer_encoder,alignment_encoder,10_aligned_transformer_xgboost,horizon_12h_aligned_transformer_encoder_val_predictions.csv,val,0.7113750890430837,0.12482282537144705,0.9305836862456269,0.17537313432835822,0.2315270935960591,0.19957537154989385,0.035766833621092925,0.9577276205049732,0.2315270935960591,47,221,5007,156,0.0278121083974838
horizon_12h,aligned_transformer_xgboost,hybrid_xgboost,10_aligned_transformer_xgboost,horizon_12h_aligned_transformer_xgboost_test_predictions.csv,test,0.9985741775805644,0.9608145190619439,0.9936674506965805,0.9015748031496063,0.9581589958158996,0.9290060851926978,0.005309864878600299,0.9952723146747352,0.9581589958158996,229,25,5263,10,0.1752413660287857
horizon_12h,aligned_transformer_xgboost,hybrid_xgboost,10_aligned_transformer_xgboost,horizon_12h_aligned_transformer_xgboost_val_predictions.csv,val,0.9988071053553997,0.9658274899815158,0.9948444117105505,0.9107981220657277,0.9556650246305419,0.9326923076923077,0.0046903324470893935,0.9963657230298393,0.9556650246305419,194,19,5209,9,0.1752413660287857
horizon_24h,aligned_transformer_encoder,alignment_encoder,10_aligned_transformer_xgboost,horizon_24h_aligned_transformer_encoder_test_predictions.csv,test,0.7451871677632802,0.14678164915377684,0.9405176704828273,0.24193548387096775,0.17142857142857143,0.20066889632107024,0.040977888268114084,0.9755399427530576,0.17142857142857143,30,94,3749,145,0.0628110691905021
horizon_24h,aligned_transformer_encoder,alignment_encoder,10_aligned_transformer_xgboost,horizon_24h_aligned_transformer_encoder_val_predictions.csv,val,0.7184221853067874,0.11767707821168989,0.9484613460095072,0.2457627118644068,0.19863013698630136,0.2196969696969697,0.03465270744357338,0.9768891197091665,0.19863013698630136,29,89,3762,117,0.0628110691905021
horizon_24h,aligned_transformer_xgboost,hybrid_xgboost,10_aligned_transformer_xgboost,horizon_24h_aligned_transformer_xgboost_test_predictions.csv,test,0.9992357161443812,0.978876692891383,0.9955201592832255,0.9289617486338798,0.9714285714285714,0.9497206703910615,0.0033400659533426567,0.9966172261254228,0.9714285714285714,170,13,3830,5,0.3192067444324493
horizon_24h,aligned_transformer_xgboost,hybrid_xgboost,10_aligned_transformer_xgboost,horizon_24h_aligned_transformer_xgboost_val_predictions.csv,val,0.9982285334177566,0.9527387997011169,0.9942456842631974,0.89171974522293,0.958904109589041,0.9240924092409241,0.005494422119403742,0.9955855621916385,0.958904109589041,140,17,3834,6,0.3192067444324493
horizon_6h,aligned_transformer_encoder,alignment_encoder,10_aligned_transformer_xgboost,horizon_6h_aligned_transformer_encoder_test_predictions.csv,test,0.7744725544385773,0.21808265937577484,0.9174532349407929,0.26052631578947366,0.3311036789297659,0.2916053019145803,0.050412233897912884,0.9491678726483358,0.3311036789297659,99,281,5247,200,0.0163654163479805
horizon_6h,aligned_transformer_encoder,alignment_encoder,10_aligned_transformer_xgboost,horizon_6h_aligned_transformer_encoder_val_predictions.csv,val,0.7859942187601742,0.26525481821874963,0.9176675369886859,0.2627551020408163,0.3588850174216028,0.30338733431516934,0.046950140848901874,0.9470502015390253,0.3588850174216028,103,289,5169,184,0.0163654163479805
horizon_6h,aligned_transformer_xgboost,hybrid_xgboost,10_aligned_transformer_xgboost,horizon_6h_aligned_transformer_xgboost_test_predictions.csv,test,0.9986272379228397,0.9749527712280255,0.9951947829071564,0.9329073482428115,0.9765886287625418,0.954248366013072,0.004753841648460428,0.9962011577424024,0.9765886287625418,292,21,5507,7,0.25
horizon_6h,aligned_transformer_xgboost,hybrid_xgboost,10_aligned_transformer_xgboost,horizon_6h_aligned_transformer_xgboost_val_predictions.csv,val,0.9989843250262057,0.9777406883776781,0.9942558746736292,0.934931506849315,0.9512195121951219,0.9430051813471503,0.005276200516317204,0.9965188713814584,0.9512195121951219,273,19,5439,14,0.25
