dataset_name,split,model_name,structured_encoder,text_input_mode,text_embedding_backend,aligned_dim,n_examples,decision_threshold,loss,auroc,auprc,accuracy,precision,recall,f1,brier_score,specificity,sensitivity,tp,fp,tn,fn,variant_name
horizon_12h,test,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,5527,0.027812108397483826,6.153160246743453,0.7440648757113288,0.1635771186768887,0.9296182377419938,0.23404255319148937,0.27615062761506276,0.2533589251439539,0.041241801348553216,0.9591527987897126,0.27615062761506276,66,216,5072,173,structured_full
horizon_12h,val,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,5431,0.027812108397483826,5.318902136011472,0.7113750890430837,0.12482282537144705,0.9305836862456269,0.17537313432835822,0.2315270935960591,0.19957537154989385,0.035766833621092925,0.9577276205049732,0.2315270935960591,47,221,5007,156,structured_full
horizon_12h,test,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,5527,0.03642179071903229,4.901781854475814,0.7058430234398243,0.11661133572062664,0.8965080513841144,0.1464968152866242,0.28870292887029286,0.19436619718309858,0.04146523661241549,0.9239788199697428,0.28870292887029286,69,402,4886,170,vitals_labs
horizon_12h,val,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,5431,0.03642179071903229,4.264142407290912,0.6914030551671372,0.1045472150221842,0.8911802614619775,0.10569105691056911,0.2561576354679803,0.14964028776978416,0.035992092895340784,0.9158377964804897,0.2561576354679803,52,440,4788,151,vitals_labs
horizon_12h,test,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,5527,0.03795066848397255,5.51895244752007,0.7573914096177341,0.17723201032706254,0.9187624389361317,0.21311475409836064,0.3263598326359833,0.2578512396694215,0.04044460629483118,0.9455370650529501,0.3263598326359833,78,288,5000,161,vitals_only
horizon_12h,val,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,5431,0.03795066848397255,4.8600870783321435,0.6850192785343038,0.10107479574000125,0.9173264592156141,0.12951807228915663,0.21182266009852216,0.16074766355140188,0.035913040389736806,0.9447207345065034,0.21182266009852216,43,289,4939,160,vitals_only
horizon_24h,test,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,4018,0.06281106919050217,5.237380410653815,0.7451871677632802,0.14678164915377684,0.9405176704828273,0.24193548387096775,0.17142857142857143,0.20066889632107024,0.040977888268114084,0.9755399427530576,0.17142857142857143,30,94,3749,145,structured_full
horizon_24h,val,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,3997,0.06281106919050217,4.534782519841101,0.7184221853067874,0.11767707821168989,0.9484613460095072,0.2457627118644068,0.19863013698630136,0.2196969696969697,0.03465270744357338,0.9768891197091665,0.19863013698630136,29,89,3762,117,structured_full
horizon_24h,test,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,4018,0.05243059992790222,5.603793711136753,0.750804802795435,0.15023396561063856,0.9407665505226481,0.22608695652173913,0.14857142857142858,0.1793103448275862,0.04145411331932349,0.9768410096278949,0.14857142857142858,26,89,3754,149,vitals_labs
horizon_24h,val,aligned_transformer_encoder,transformer,frozen_embedding,transformer:emilyalsentzer/Bio_ClinicalBERT,256,3997,0.05243059992790222,4.936423990750453,0.7091130928454804,0.10622517823269445,0.9472104078058544,0.2072072072072072,0.15753424657534246,0.17898832684824903,0.0352521464704766,0.9771487925214231,0.15753424657534246,23,88,3763,123,vitals_labs
